Alcaldia,Sexo,Grupos de edad,Poblacion,Sin Escolaridad,Preescolar,Primaria,Secundaria,Estudios técnicos con primaria,Estudios técnicos con secundaria,Prepa,Normal Basica,Estudios técnicos con prepa,Licenciatura,Posgrado,No especificado,alcaldia_id
Álvaro Obregón,Hombres,03-05 años,13328.0,4941,8229,0,0,0,0,0,0,0,0,0,158,010
Álvaro Obregón,Hombres,06-09 años,19055.0,217,5355,13317,0,0,0,0,0,0,0,0,166,010
Álvaro Obregón,Hombres,10-14 años,25731.0,131,548,15903,8973,6,0,0,0,0,0,0,170,010
Álvaro Obregón,Hombres,15-19 años,27601.0,114,28,1093,10923,54,185,13690,0,157,1217,0,140,010
Álvaro Obregón,Hombres,20-24 años,29868.0,145,20,1039,6223,53,196,10960,0,489,10440,163,140,010
Álvaro Obregón,Hombres,25-29 años,29549.0,189,15,1441,6522,42,223,8315,0,481,11165,1052,104,010
Álvaro Obregón,Hombres,30-34 años,28598.0,244,34,1650,6635,43,306,7559,0,527,9698,1825,77,010
Álvaro Obregón,Hombres,35-39 años,27331.0,284,31,1999,7004,50,317,6892,0,548,8133,1967,106,010
Álvaro Obregón,Hombres,40-44 años,25942.0,246,38,2396,7242,59,374,6152,0,517,6824,1993,101,010
Álvaro Obregón,Hombres,45-49 años,26046.0,291,26,2609,7669,58,402,5910,5,548,6447,2019,62,010
Álvaro Obregón,Hombres,50-54 años,24129.0,303,31,3060,6715,58,392,5346,18,467,5813,1854,72,010
Álvaro Obregón,Hombres,55-59 años,20062.0,337,45,3300,5128,41,287,3761,21,336,5290,1468,48,010
Álvaro Obregón,Hombres,60-64 años,17223.0,368,51,4112,3582,49,212,2769,20,215,4525,1279,41,010
Álvaro Obregón,Hombres,65-69 años,13187.0,378,45,3803,2533,68,181,1599,13,177,3292,1085,13,010
Álvaro Obregón,Hombres,70-74 años,9514.0,464,56,3306,1496,64,140,868,23,126,2244,714,13,010
Álvaro Obregón,Hombres,75-79 años,5966.0,400,59,2418,790,32,63,411,7,75,1297,400,14,010
Álvaro Obregón,Hombres,80-84 años,3808.0,387,28,1652,423,18,34,225,3,36,749,245,8,010
Álvaro Obregón,Hombres,85 años y más,3019.0,394,37,1418,292,15,34,149,2,31,499,144,4,010
Álvaro Obregón,Mujeres,03-05 años,12978.0,4636,8186,0,0,0,0,0,0,0,0,0,156,010
Álvaro Obregón,Mujeres,06-09 años,18610.0,213,5057,13152,0,0,0,0,0,0,0,0,188,010
Álvaro Obregón,Mujeres,10-14 años,25137.0,99,611,15382,8895,2,0,0,0,0,0,0,148,010
Álvaro Obregón,Mujeres,15-19 años,27247.0,104,27,830,9887,38,229,14180,0,213,1595,0,144,010
Álvaro Obregón,Mujeres,20-24 años,30073.0,119,10,1005,5677,64,306,10635,0,599,11285,214,159,010
Álvaro Obregón,Mujeres,25-29 años,31159.0,183,12,1240,6453,69,372,8623,0,659,12165,1274,109,010
Álvaro Obregón,Mujeres,30-34 años,30888.0,214,19,1677,6723,63,540,7732,0,801,10933,2090,96,010
Álvaro Obregón,Mujeres,35-39 años,29841.0,253,37,2338,7283,103,749,6888,0,898,9143,2034,115,010
Álvaro Obregón,Mujeres,40-44 años,29202.0,323,37,2971,7534,104,1023,6133,0,983,8086,1917,91,010
Álvaro Obregón,Mujeres,45-49 años,29927.0,329,46,3521,8065,135,1513,5759,14,1294,7362,1798,91,010
Álvaro Obregón,Mujeres,50-54 años,28592.0,487,57,4647,7357,182,1806,4763,62,1288,6451,1431,61,010
Álvaro Obregón,Mujeres,55-59 años,23888.0,581,76,5368,5394,226,1507,3372,57,899,5202,1169,37,010
Álvaro Obregón,Mujeres,60-64 años,21283.0,832,124,6551,3828,351,1488,2344,70,801,3962,898,34,010
Álvaro Obregón,Mujeres,65-69 años,16316.0,1011,104,6109,2340,380,1198,1311,78,573,2535,656,21,010
Álvaro Obregón,Mujeres,70-74 años,12283.0,1107,95,5070,1440,389,797,884,53,413,1602,418,15,010
Álvaro Obregón,Mujeres,75-79 años,8216.0,998,110,3598,763,277,493,476,32,260,951,233,25,010
Álvaro Obregón,Mujeres,80-84 años,5849.0,893,63,2670,507,173,316,344,20,163,577,120,3,010
Álvaro Obregón,Mujeres,85 años y más,5655.0,1217,65,2478,435,126,245,350,29,153,455,96,6,010
Azcapotzalco,Hombres,03-05 años,7237.0,2349,4793,0,0,0,0,0,0,0,0,0,95,002
Azcapotzalco,Hombres,06-09 años,9425.0,76,2494,6783,0,0,0,0,0,0,0,0,72,002
Azcapotzalco,Hombres,10-14 años,13219.0,34,196,8121,4791,6,0,0,0,0,0,0,71,002
Azcapotzalco,Hombres,15-19 años,14272.0,32,4,293,4965,10,33,7962,0,66,858,0,49,002
Azcapotzalco,Hombres,20-24 años,15895.0,41,2,253,2221,28,60,6065,0,196,6860,134,35,002
Azcapotzalco,Hombres,25-29 años,16899.0,41,8,315,2368,22,56,4703,0,227,8382,749,28,002
Azcapotzalco,Hombres,30-34 años,17047.0,50,7,469,2409,23,76,4412,0,268,8111,1207,15,002
Azcapotzalco,Hombres,35-39 años,15868.0,70,8,525,2593,19,108,4238,0,291,6716,1280,20,002
Azcapotzalco,Hombres,40-44 años,14624.0,60,7,687,2929,20,140,3883,0,346,5466,1071,15,002
Azcapotzalco,Hombres,45-49 años,14810.0,69,10,869,3426,29,203,4031,3,383,4838,927,22,002
Azcapotzalco,Hombres,50-54 años,14313.0,101,12,1222,3400,40,244,3795,17,333,4388,749,12,002
Azcapotzalco,Hombres,55-59 años,11992.0,105,5,1351,2841,42,196,2958,18,261,3574,637,4,002
Azcapotzalco,Hombres,60-64 años,10497.0,92,13,1861,2277,37,154,2224,10,181,3081,565,2,002
Azcapotzalco,Hombres,65-69 años,7906.0,117,8,1907,1700,50,150,1320,14,147,2139,351,3,002
Azcapotzalco,Hombres,70-74 años,5925.0,110,11,2029,1244,56,148,747,11,102,1288,179,0,002
Azcapotzalco,Hombres,75-79 años,3966.0,136,17,1731,722,26,97,398,4,71,680,84,0,002
Azcapotzalco,Hombres,80-84 años,2628.0,137,14,1306,409,27,41,209,10,26,408,40,1,002
Azcapotzalco,Hombres,85 años y más,2163.0,191,11,1167,276,8,28,122,3,19,291,44,3,002
Azcapotzalco,Mujeres,03-05 años,6954.0,2215,4676,0,0,0,0,0,0,0,0,0,63,002
Azcapotzalco,Mujeres,06-09 años,9080.0,74,2330,6604,0,0,0,0,0,0,0,0,72,002
Azcapotzalco,Mujeres,10-14 años,12667.0,21,158,7665,4749,3,0,0,0,0,0,0,71,002
Azcapotzalco,Mujeres,15-19 años,13711.0,17,4,196,4074,20,35,8224,0,60,1004,0,77,002
Azcapotzalco,Mujeres,20-24 años,15561.0,31,2,187,1786,22,82,5337,0,251,7629,175,59,002
Azcapotzalco,Mujeres,25-29 años,17506.0,34,7,253,2064,22,95,4595,0,303,9191,902,40,002
Azcapotzalco,Mujeres,30-34 años,17858.0,47,7,398,2330,35,169,4236,0,430,8748,1417,41,002
Azcapotzalco,Mujeres,35-39 años,17294.0,78,4,623,2655,37,284,4026,0,522,7596,1433,36,002
Azcapotzalco,Mujeres,40-44 años,16621.0,82,5,856,3319,75,576,3947,0,666,5883,1188,24,002
Azcapotzalco,Mujeres,45-49 años,17049.0,127,5,1125,3824,81,1033,3867,9,900,5129,919,30,002
Azcapotzalco,Mujeres,50-54 años,16822.0,157,12,1839,4019,118,1331,3434,66,990,4182,669,5,002
Azcapotzalco,Mujeres,55-59 años,14682.0,186,14,2456,3124,207,1217,2531,104,803,3471,560,9,002
Azcapotzalco,Mujeres,60-64 años,13290.0,265,26,3415,2604,360,1184,1757,80,611,2585,394,9,002
Azcapotzalco,Mujeres,65-69 años,10153.0,277,22,3569,1751,444,989,937,80,450,1428,205,1,002
Azcapotzalco,Mujeres,70-74 años,8307.0,407,45,3555,1176,480,789,523,82,283,835,132,0,002
Azcapotzalco,Mujeres,75-79 años,5665.0,402,33,2815,677,290,425,267,44,182,466,64,0,002
Azcapotzalco,Mujeres,80-84 años,4217.0,436,27,2247,407,193,282,132,38,116,309,28,2,002
Azcapotzalco,Mujeres,85 años y más,3933.0,581,34,2193,350,142,199,107,35,73,204,15,0,002
Benito Juárez,Hombres,03-05 años,5615.0,1428,4129,0,0,0,0,0,0,0,0,0,58,014
Benito Juárez,Hombres,06-09 años,6730.0,55,1957,4664,0,0,0,0,0,0,0,0,54,014
Benito Juárez,Hombres,10-14 años,8962.0,20,166,5678,3041,0,0,0,0,0,0,0,57,014
Benito Juárez,Hombres,15-19 años,9563.0,28,3,156,2699,8,19,5694,0,51,850,0,55,014
Benito Juárez,Hombres,20-24 años,12351.0,31,2,65,598,11,25,3628,0,173,7601,173,44,014
Benito Juárez,Hombres,25-29 años,17844.0,50,4,98,629,15,20,2370,0,177,12394,2042,45,014
Benito Juárez,Hombres,30-34 años,21909.0,45,6,107,680,19,35,2266,0,253,13893,4558,47,014
Benito Juárez,Hombres,35-39 años,21123.0,45,7,160,737,21,55,2218,0,257,12408,5170,45,014
Benito Juárez,Hombres,40-44 años,17613.0,52,2,205,725,24,66,2101,0,239,9732,4430,37,014
Benito Juárez,Hombres,45-49 años,15941.0,29,4,248,928,17,89,2165,3,268,8445,3711,34,014
Benito Juárez,Hombres,50-54 años,13181.0,42,4,283,937,32,92,1939,16,286,6917,2614,19,014
Benito Juárez,Hombres,55-59 años,11800.0,49,7,349,816,33,82,1915,12,239,6135,2149,14,014
Benito Juárez,Hombres,60-64 años,10937.0,35,5,409,707,25,77,1563,12,167,5904,2026,7,014
Benito Juárez,Hombres,65-69 años,8583.0,29,4,492,684,25,105,1125,8,167,4475,1456,13,014
Benito Juárez,Hombres,70-74 años,6472.0,45,4,530,528,23,95,724,5,143,3356,1017,2,014
Benito Juárez,Hombres,75-79 años,4031.0,37,7,456,359,16,37,515,13,94,1979,516,2,014
Benito Juárez,Hombres,80-84 años,2584.0,39,3,404,280,13,42,274,13,51,1181,281,3,014
Benito Juárez,Hombres,85 años y más,2122.0,44,10,427,286,14,52,238,10,47,824,168,2,014
Benito Juárez,Mujeres,03-05 años,5391.0,1377,3943,0,0,0,0,0,0,0,0,0,71,014
Benito Juárez,Mujeres,06-09 años,6656.0,78,1913,4613,0,0,0,0,0,0,0,0,52,014
Benito Juárez,Mujeres,10-14 años,8570.0,27,169,5333,2988,4,0,0,0,0,0,0,49,014
Benito Juárez,Mujeres,15-19 años,9407.0,16,9,157,2600,5,23,5580,0,40,927,0,50,014
Benito Juárez,Mujeres,20-24 años,12760.0,28,6,108,575,12,24,3387,0,166,8136,241,77,014
Benito Juárez,Mujeres,25-29 años,19331.0,45,7,129,613,13,40,2212,0,216,13546,2471,39,014
Benito Juárez,Mujeres,30-34 años,23278.0,59,4,195,680,22,77,2114,0,283,14552,5256,36,014
Benito Juárez,Mujeres,35-39 años,21844.0,36,7,295,716,21,119,2138,0,356,12716,5397,43,014
Benito Juárez,Mujeres,40-44 años,19236.0,55,7,383,912,47,190,2227,0,472,10482,4411,50,014
Benito Juárez,Mujeres,45-49 años,17590.0,52,8,473,1142,59,413,2473,15,686,8981,3256,32,014
Benito Juárez,Mujeres,50-54 años,15844.0,69,6,618,1229,93,561,2525,58,809,7530,2328,18,014
Benito Juárez,Mujeres,55-59 años,14913.0,76,9,707,1234,119,780,2346,89,903,6645,1989,16,014
Benito Juárez,Mujeres,60-64 años,14814.0,120,12,1129,1351,210,1135,2208,102,991,5848,1698,10,014
Benito Juárez,Mujeres,65-69 años,11850.0,94,15,1206,1236,310,1297,1608,110,877,4049,1045,3,014
Benito Juárez,Mujeres,70-74 años,9617.0,141,20,1382,1058,405,1105,1155,128,725,2835,657,6,014
Benito Juárez,Mujeres,75-79 años,6395.0,128,15,1270,845,282,735,680,96,469,1559,310,6,014
Benito Juárez,Mujeres,80-84 años,4764.0,153,12,1168,614,249,565,518,66,320,921,173,5,014
Benito Juárez,Mujeres,85 años y más,5175.0,248,24,1651,747,249,545,465,72,290,793,85,6,014
Coyoacán,Hombres,03-05 años,9204.0,2839,6291,0,0,0,0,0,0,0,0,0,74,003
Coyoacán,Hombres,06-09 años,12210.0,137,3424,8535,0,0,0,0,0,0,0,0,114,003
Coyoacán,Hombres,10-14 años,17531.0,63,488,10495,6373,3,0,0,0,0,0,0,109,003
Coyoacán,Hombres,15-19 años,20091.0,55,15,476,7042,22,103,10909,0,101,1282,0,86,003
Coyoacán,Hombres,20-24 años,23667.0,83,9,431,3028,15,114,8543,0,337,10848,187,72,003
Coyoacán,Hombres,25-29 años,23879.0,84,9,556,3223,26,116,5639,0,351,12272,1564,39,003
Coyoacán,Hombres,30-34 años,22251.0,112,10,654,3145,31,118,5083,0,409,10176,2484,29,003
Coyoacán,Hombres,35-39 años,21119.0,131,12,854,3331,26,155,4942,0,383,8909,2339,37,003
Coyoacán,Hombres,40-44 años,20884.0,162,18,1120,3772,38,174,4871,0,401,7957,2343,28,003
Coyoacán,Hombres,45-49 años,21315.0,172,21,1328,4254,41,292,4935,2,487,7508,2246,29,003
Coyoacán,Hombres,50-54 años,19628.0,184,15,1388,3956,39,289,4450,13,501,6978,1794,21,003
Coyoacán,Hombres,55-59 años,16722.0,166,33,1514,3027,29,205,3431,15,304,6282,1708,8,003
Coyoacán,Hombres,60-64 años,15447.0,184,35,1889,2245,40,198,2582,17,245,6213,1784,15,003
Coyoacán,Hombres,65-69 años,13010.0,169,35,2136,1949,54,199,1730,13,207,5112,1397,9,003
Coyoacán,Hombres,70-74 años,10308.0,221,39,2256,1493,65,195,1144,16,193,3684,996,6,003
Coyoacán,Hombres,75-79 años,6748.0,245,32,1870,899,40,113,677,17,111,2194,547,3,003
Coyoacán,Hombres,80-84 años,4174.0,226,28,1291,519,30,81,338,16,69,1268,304,4,003
Coyoacán,Hombres,85 años y más,3321.0,279,33,1206,371,19,65,247,12,42,844,197,6,003
Coyoacán,Mujeres,03-05 años,8857.0,2736,6026,0,0,0,0,0,0,0,0,0,95,003
Coyoacán,Mujeres,06-09 años,12013.0,112,3338,8483,0,0,0,0,0,0,0,0,80,003
Coyoacán,Mujeres,10-14 años,16721.0,54,382,10024,6175,7,0,0,0,0,0,0,79,003
Coyoacán,Mujeres,15-19 años,19308.0,55,12,385,6173,14,137,10809,0,114,1495,0,114,003
Coyoacán,Mujeres,20-24 años,23369.0,75,10,387,2785,19,186,7532,0,392,11672,230,81,003
Coyoacán,Mujeres,25-29 años,23960.0,64,15,504,3031,25,191,5270,0,453,12633,1735,39,003
Coyoacán,Mujeres,30-34 años,23393.0,105,12,627,3197,32,261,4934,0,578,10777,2837,33,003
Coyoacán,Mujeres,35-39 años,23561.0,151,25,948,3460,42,409,4956,0,703,10025,2798,44,003
Coyoacán,Mujeres,40-44 años,23931.0,169,23,1350,4187,53,714,4901,0,895,9072,2498,69,003
Coyoacán,Mujeres,45-49 años,24865.0,195,22,1534,4722,74,1113,5183,10,1211,8489,2274,38,003
Coyoacán,Mujeres,50-54 años,23601.0,250,35,2114,4761,139,1402,4359,83,1162,7394,1885,17,003
Coyoacán,Mujeres,55-59 años,20856.0,285,46,2603,3586,166,1411,3415,102,1079,6476,1671,16,003
Coyoacán,Mujeres,60-64 años,20697.0,378,72,3712,3196,331,1676,2895,109,988,5838,1490,12,003
Coyoacán,Mujeres,65-69 años,17480.0,488,70,4245,2492,459,1746,1938,125,922,3941,1045,9,003
Coyoacán,Mujeres,70-74 años,13762.0,575,56,4113,1728,537,1384,1240,139,677,2646,658,9,003
Coyoacán,Mujeres,75-79 años,9201.0,595,66,3186,1061,368,828,651,110,431,1570,330,5,003
Coyoacán,Mujeres,80-84 años,6219.0,535,56,2313,710,243,600,415,66,276,831,174,0,003
Coyoacán,Mujeres,85 años y más,6225.0,766,63,2595,676,206,478,364,55,220,671,126,5,003
Cuajimalpa de Morelos,Hombres,03-05 años,4851.0,1526,3244,0,0,0,0,0,0,0,0,0,81,004
Cuajimalpa de Morelos,Hombres,06-09 años,6141.0,93,1433,4556,0,0,0,0,0,0,0,0,59,004
Cuajimalpa de Morelos,Hombres,10-14 años,7952.0,56,37,4896,2900,0,0,0,0,0,0,0,63,004
Cuajimalpa de Morelos,Hombres,15-19 años,8442.0,31,2,317,3028,11,54,4523,0,41,388,0,47,004
Cuajimalpa de Morelos,Hombres,20-24 años,8830.0,80,6,346,1693,17,39,3144,0,129,3259,66,51,004
Cuajimalpa de Morelos,Hombres,25-29 años,8732.0,76,8,379,1850,16,44,2345,0,139,3444,406,25,004
Cuajimalpa de Morelos,Hombres,30-34 años,8547.0,78,4,504,1934,13,46,2206,0,131,2816,795,20,004
Cuajimalpa de Morelos,Hombres,35-39 años,8013.0,94,4,597,2014,11,59,1929,0,130,2245,910,20,004
Cuajimalpa de Morelos,Hombres,40-44 años,7443.0,112,8,690,2070,14,81,1537,0,121,1935,859,16,004
Cuajimalpa de Morelos,Hombres,45-49 años,7399.0,86,4,729,2065,15,73,1557,0,132,1801,908,29,004
Cuajimalpa de Morelos,Hombres,50-54 años,6711.0,110,12,890,1861,8,65,1320,2,110,1570,746,17,004
Cuajimalpa de Morelos,Hombres,55-59 años,5397.0,103,6,889,1311,12,49,923,8,72,1459,562,3,004
Cuajimalpa de Morelos,Hombres,60-64 años,4180.0,90,5,1130,806,8,31,548,2,48,1035,469,8,004
Cuajimalpa de Morelos,Hombres,65-69 años,2897.0,85,7,917,574,13,22,237,6,34,737,262,3,004
Cuajimalpa de Morelos,Hombres,70-74 años,1936.0,111,7,768,266,11,23,134,0,22,404,187,3,004
Cuajimalpa de Morelos,Hombres,75-79 años,1262.0,102,4,530,156,1,10,77,3,8,295,74,2,004
Cuajimalpa de Morelos,Hombres,80-84 años,751.0,81,3,364,68,1,10,43,0,4,130,47,0,004
Cuajimalpa de Morelos,Hombres,85 años y más,511.0,64,0,262,50,0,0,23,0,3,84,25,0,004
Cuajimalpa de Morelos,Mujeres,03-05 años,4673.0,1563,3047,0,0,0,0,0,0,0,0,0,63,004
Cuajimalpa de Morelos,Mujeres,06-09 años,5839.0,73,1292,4419,0,0,0,0,0,0,0,0,55,004
Cuajimalpa de Morelos,Mujeres,10-14 años,7821.0,51,49,4686,2983,3,0,0,0,0,0,0,49,004
Cuajimalpa de Morelos,Mujeres,15-19 años,8334.0,42,5,252,2756,18,45,4661,0,44,451,0,60,004
Cuajimalpa de Morelos,Mujeres,20-24 años,9464.0,62,3,342,1829,16,57,3112,0,178,3717,73,75,004
Cuajimalpa de Morelos,Mujeres,25-29 años,9718.0,62,8,489,2034,12,70,2494,0,160,3834,496,59,004
Cuajimalpa de Morelos,Mujeres,30-34 años,9609.0,107,3,619,2190,12,109,2370,0,206,3184,768,41,004
Cuajimalpa de Morelos,Mujeres,35-39 años,8817.0,115,5,744,2203,19,153,1969,0,210,2611,754,34,004
Cuajimalpa de Morelos,Mujeres,40-44 años,8471.0,126,2,1045,2241,13,190,1663,0,270,2208,681,32,004
Cuajimalpa de Morelos,Mujeres,45-49 años,8481.0,128,8,1163,2321,25,264,1535,0,307,2058,638,34,004
Cuajimalpa de Morelos,Mujeres,50-54 años,7892.0,182,16,1440,2054,26,301,1249,12,313,1814,469,16,004
Cuajimalpa de Morelos,Mujeres,55-59 años,6160.0,165,13,1562,1383,27,226,823,12,194,1403,342,10,004
Cuajimalpa de Morelos,Mujeres,60-64 años,4863.0,195,11,1782,829,38,167,485,15,149,952,232,8,004
Cuajimalpa de Morelos,Mujeres,65-69 años,3362.0,225,6,1458,448,36,118,266,5,110,548,138,4,004
Cuajimalpa de Morelos,Mujeres,70-74 años,2449.0,259,5,1213,261,22,77,157,6,43,311,92,3,004
Cuajimalpa de Morelos,Mujeres,75-79 años,1543.0,244,8,729,121,14,39,134,3,31,175,43,2,004
Cuajimalpa de Morelos,Mujeres,80-84 años,1078.0,199,6,553,77,8,27,78,5,10,84,29,2,004
Cuajimalpa de Morelos,Mujeres,85 años y más,971.0,254,5,455,71,9,18,61,3,19,69,7,0,004
Cuauhtémoc,Hombres,03-05 años,8599.0,2607,5883,0,0,0,0,0,0,0,0,0,109,015
Cuauhtémoc,Hombres,06-09 años,11164.0,119,2650,8306,0,0,0,0,0,0,0,0,89,015
Cuauhtémoc,Hombres,10-14 años,15217.0,59,195,9220,5649,3,0,0,0,0,0,0,91,015
Cuauhtémoc,Hombres,15-19 años,16162.0,74,6,497,5656,22,45,8798,0,75,899,0,90,015
Cuauhtémoc,Hombres,20-24 años,19045.0,65,10,510,2934,25,49,7220,0,248,7737,155,92,015
Cuauhtémoc,Hombres,25-29 años,25021.0,100,11,643,3257,27,68,6082,0,310,12920,1523,80,015
Cuauhtémoc,Hombres,30-34 años,27072.0,125,11,793,3297,35,77,5724,0,329,13333,3267,81,015
Cuauhtémoc,Hombres,35-39 años,23744.0,127,6,846,3279,30,109,5126,0,368,10685,3095,73,015
Cuauhtémoc,Hombres,40-44 años,19976.0,100,5,1062,3473,34,142,4644,0,336,7644,2475,61,015
